Property Reference Number,BA Reference Number,Ratepayer,Full Property Address,Post Code,Latitude,Longitude,Occupied,Liability Start date,Empty From,Last Rateable Value for 2017,Analysis Code of Last 2017 Val,2017 NDR - Analysis code desc,Exemptions,Exemption Start date,Relief Types,Relief Total,Relief mandatory,Relief discretionary
N00109000010,N00109000010,Vistech Cooling Systems Ltd (North),"Sheep Pens, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2013-04-22,,3650,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,#N/A,#N/A,,
N00109000011,N00109000011,Crabtree Hall Management Company Ltd,"Estate Office, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2007-05-12,,1475,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109000021,N00109000021,Mini Explorers Crabtree Ltd,"1 Ingledew, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2013-08-02,,7500,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109000024,N00109000024,,"3b Ingledew (First Floor), Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2015-08-01,,4650,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-2283.15,,
N00109000025,N00109000025,Mini Explorers Crabtree Ltd,"3a Ingledew (G Floor), Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2017-06-01,,4400,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109000026,N00109000026,Crabtree Hall Management Company Ltd,"2a Ingledew (Downstairs), Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,N,2018-06-22,,3450,CO,Office (Excluding Central & Local Gov'T),PRESNOTICE,2018-09-22,,#N/A,,
N00109000027,N00109000027,J Pybus & Son,"2b Ingledew (Upstairs), Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2017-02-24,,3400,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1669.40,,
N00109000032,N00109000032,,"1 Johns Court, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2011-08-05,,7000,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-3437.00,,
N00109000033,N00109000033,A1 Community Works Ltd,"2 Johns Court, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2016-12-23,,5700,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-2798.70,,
N00109000050,N00109000050,Click Through Digital Ltd,"1 Keenleyside, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2018-09-15,,7000,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-3437.00,,
N00109000060,N00109000060,Crabtree Hall Management Company Ltd,"2 Keenleyside, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2016-05-23,,5700,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109000072,N00109000072,Farm School,"Standingstone House, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2018-10-01,,7600,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-3731.60,,
N00109000091,N00109000091,Pennine Energy Group Ltd,"1st Floor Right Office, Maxwell House, Crabtree Hall Business Centre, Little Holtby, Northallerton, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2018-10-01,,3750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1841.25,,
N00109000092,N00109000092,Solstice Heritage Llp,"1st Floor Left Office, Maxwell House, Crabtree Hall Business Centre, Little Holtby, Northallerton, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2018-04-01,,4050,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1988.55,,
N00109000103,N00109000103,121 Online Media Ltd,"3 Holderness House, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2016-12-23,,11250,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-5523.75,,
N00109000104,N00109000104,Crabtree Hall Management Company Ltd,"1 Holderness House, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2014-09-01,,11500,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109000105,N00109000105,Ifarm Management Ltd,"2 Holderness House, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2019-05-01,,8900,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-4011.71,,
N00109000300,N00109000300,,"Little Holtby, Leeming Bar, Northallerton, North Yorkshire, DL7 9LH",DL7 9LH,54.32138,-1.57911,Y,2015-04-01,,1950,CH2,Boarding House,#N/A,#N/A,,#N/A,,
