Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
1,,"A1 Tyres, Kensington Street, Keighley, BD21 1PW",BD21 1PW,53.86292,-1.91626,1990-04-01,3900,IF3,WORKSHOP AND PREMISES,2017-10-01,Y,,,Small Business Rate Relief,2017-10-01,,,,
3,,"52, Cross Roads, Keighley, BD22 9BA",BD22 9BA,53.83698,-1.93011,1990-04-01,5400,CS,SHOP AND PREMISES,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
5,St John The Evangelist Academy,"St John Rc First School, Beacon Road, Bradford, BD6 3DQ",BD6 3DQ,53.77085,-1.80147,1990-04-01,25250,EL,SCHOOL AND PREMISES,2016-10-01,Y,,,Mandatory Relief,2016-10-01,,,Yes,
11,Kehoe'S Limited,"The Venue, Park Lane, Bradford, BD5 0JL",BD5 0JL,53.78455,-1.75915,1990-04-01,6250,CL,PUBLIC HOUSE AND PREMISES,2016-04-01,,,,,,,,,
12,,"Unit Q, Blackshaw Mills, Halifax Road, Bradford, BD6 2HL",BD6 2HL,53.75759,-1.80100,1990-04-01,4250,IF3,WORKSHOP AND PREMISES,2015-03-06,Y,,,Small Business Rate Relief,2015-03-06,,,,
13,Crossflatts Old People Association,"Community Centre, St Aidans Square, Crossflatts, Bingley, BD16 2BN",BD16 2BN,53.86141,-1.84459,1990-04-01,2800,LC,COMMUNITY CENTRE AND PREMISES,2011-04-01,Y,,,Mandatory Relief,2011-04-01,,,,
14,Bingley Chamber Of Trade And Commerce,"Store, Queens Court, Bingley, BD16 2LT",BD16 2LT,53.84852,-1.83903,1990-04-01,1475,CW3,STORE AND PREMISES,2017-03-01,Y,,,Small Business Rate Relief,2017-03-01,,,,
15,,"Stables Rear Of, 62, Branksome Drive, Shipley, BD18 4BE",BD18 4BE,53.83645,-1.81160,1990-04-01,900,LX,STABLES AND PREMISES,1992-01-03,Y,,,Small Business Rate Relief,2007-04-01,,,,
19,,"14, Highgate, Bradford, BD9 4BB",BD9 4BB,53.81585,-1.78628,1990-04-01,4400,CS,,2016-10-01,Y,,,Small Business Rate Relief,2016-10-01,,,,
27,,"Unit 3, Drill Parade, Bradford, BD8 7HY",BD8 7HY,53.80294,-1.76210,1992-04-01,2550,CS,SHOP AND PREMISES,2017-07-18,Y,,,,,,,,
35,Cobley And Cockshott Ltd,"19, Bridge Street, Keighley, BD21 1AA",BD21 1AA,53.86510,-1.91072,1990-04-01,3550,CS,SHOP AND PREMISES,2006-08-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
44,,"84, Kirkgate, Silsden, Keighley, BD20 0PA",BD20 0PA,53.91377,-1.93752,1990-04-01,4100,CS,SHOP AND PREMISES,2012-01-01,Y,,,Small Business Rate Relief,2012-04-01,,,,
46,,"The Bank, Cleasby Road, Menston, Ilkley, LS29 6JE",LS29 6JE,53.89091,-1.73563,1990-04-01,3200,CS,SHOP AND PREMISES,2003-12-04,Y,,,Small Business Rate Relief,2007-04-01,,,,
