Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
50,Santander Uk Plc,"Abbey National, 9, Nelson Street, Bradford, BD1 5AN",BD1 5AN,53.79039,-1.75136,1999-01-14,985000,CO,OFFICES AND PREMISES,1999-01-14,Y,,,,,,,,
61,,"122, North Street, Keighley, BD21 3AL",BD21 3AL,53.87082,-1.90933,1990-04-01,3000,CS,SHOP AND PREMISES,2006-09-04,Y,,,Small Business Rate Relief,2007-04-01,,,,
62,,"45, Mill Hey, Haworth, Keighley, BD22 8NA",BD22 8NA,53.83238,-1.94673,1990-04-01,2700,CS,SHOP AND PREMISES,2013-11-11,Y,,,Small Business Rate Relief,2013-11-30,,,,
70,Bardsley Powell Estates,"4a, Little Horton Green, Bradford, BD5 0NG",BD5 0NG,53.78494,-1.76504,1990-04-01,1400,CW3,STORE AND PREMISES,2007-09-01,Y,,,,,,,,
78,Salem Athletic Cricket Club,"Sports Ground, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81359,-1.79159,1990-04-01,5900,LS,SPORTS GROUND AND PREMISES,1990-04-01,Y,,,Sport Mandatory Relief,2005-09-18,,,,
83,,"Lalas, 55, Toller Lane, Bradford, BD8 9DD",BD8 9DD,53.80468,-1.77986,1990-04-01,50500,CR,,2017-12-01,Y,,,,,,,,
84,Empire House Piccadilly Limited,"8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79572,-1.75349,1998-05-01,61500,CO,OFFICES AND PREMISES,2017-11-17,,Listed Building,2017-11-17,,,,,,
87,,"Unit 2, Drill Parade, Bradford, BD8 7HY",BD8 7HY,53.80294,-1.76210,1992-04-01,3500,CW3,STORE AND PREMISES,2017-08-01,Y,,,Small Business Rate Relief,2017-08-01,,,,
94,,"5, Rawson Road, Bradford, BD1 3SH",BD1 3SH,53.79671,-1.75738,1990-04-01,8500,CS,,1995-06-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
95,,"135-139, Manningham Lane, Bradford, BD8 7JA",BD8 7JA,53.80230,-1.76139,1990-04-01,7800,CS,SHOP AND PREMISES,2011-04-01,,,,,,,,,
96,Tsb Banking Group Plc,"74-76, Towngate, Keighley, BD21 3QE",BD21 3QE,53.86758,-1.90728,1990-04-01,53000,CS1,BANK AND PREMISES,1990-04-01,Y,,,,,,,,
98,,"Clifton Mill, Upper Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80568,-1.76272,1995-01-30,8500,CW,WAREHOUSE AND PREMISES,2016-11-15,Y,,,Small Business Rate Relief,2016-11-15,,,,
99,Pennine House Limited,"Car Park Space No 39, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
113,Hbcl Coldstores Limited,"Unit 9, G B Business Park, Cutler Heights Lane, Bradford, BD4 9HZ",BD4 9HZ,53.78127,-1.71630,1992-10-05,29000,CW,WAREHOUSE AND PREMISES,2004-10-29,Y,,,,,,,,
130,Tote Bookmakers Limited,"228, High Street, Wibsey, Bradford, BD6 1QP",BD6 1QP,53.76694,-1.77447,1990-04-01,7600,CS,SHOP AND PREMISES,1990-04-01,Y,,,,,,,,
133,,"141, Main Street, Wilsden, Bradford, BD15 0AQ",BD15 0AQ,53.82231,-1.85939,1990-04-01,5900,CS,SHOP AND PREMISES,2006-11-18,Y,,,Small Business Rate Relief,2007-04-01,,,,
134,The Congregational Federation Limited,"405, Thornton Road, Thornton, Bradford, BD13 3JN",BD13 3JN,53.79048,-1.85362,1997-02-17,4650,CS,SHOP AND PREMISES,2015-03-01,Y,,,Mandatory Relief,2015-07-27,,,,
138,The Secretary Northcliffe Golf Club,"Northcliffe Golf Course, High Bank Lane, Shipley, BD18 4LJ",BD18 4LJ,53.82868,-1.79802,1990-04-01,42750,LS2,GOLF COURSE AND PREMISES,1990-04-01,Y,,,,,,,,
142,,"498, Thornton Road, Bradford, BD8 9NA",BD8 9NA,53.79943,-1.78570,1990-04-01,4800,CS,SHOP AND PREMISES,2011-01-01,Y,,,Small Business Rate Relief,2011-01-01,,,,
143,S&M Kirkgate Limited,"6, Piccadilly, Bradford, BD1 3LW",BD1 3LW,53.79517,-1.75284,1998-05-01,12500,CO,OFFICES AND PREMISES,2011-12-23,,Listed Building,2011-12-23,,,,,,
145,Mahmoods (Franchising) Limited,"Unit 2, Red Oak House, Duncombe Street, Bradford, BD8 9AJ",BD8 9AJ,53.79681,-1.78167,1993-07-03,18500,CW,WAREHOUSE AND PREMISES,2016-06-01,,Land,2017-05-09,,,,,,
150,Penyffordd Pharmacy Limited,"238, Whetley Lane, Bradford, BD8 9DJ",BD8 9DJ,53.80343,-1.77625,1990-04-01,6600,CS,PHARMACY AND PREMISES,2006-06-30,Y,,,Small Business Rate Relief,2012-07-01,,,,
157,,"Lower Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80568,-1.76272,1995-01-30,6700,CW,VEHICLE DISMANTLERS YARD,2017-01-29,Y,,,Small Business Rate Relief,2017-01-29,,,,
158,Pennine House Limited,"Car Park Space No 38, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
164,The Upstagers Theatre Charity Limited,"Unit 6, 1st Floor, Booths Yard, Nile Road, Ilkley, LS29 8HJ",LS29 8HJ,53.92581,-1.82178,1990-04-01,4750,IF3,WORKSHOP AND PREMISES,2010-08-10,Y,,,Mandatory Relief,2010-08-10,,,,
167,Primesight Limited,"Advert Rights No 1344 02-06, Baildon Bridge, Otley Road, Baildon, BD17 7ER",BD17 7ER,53.83817,-1.77242,1990-04-01,8000,CA,ADVERTISING RIGHT AND PREMISES,2009-09-01,Y,,,,,,,,
171,,"1374, Leeds Road, Bradford, BD3 8NE",BD3 8NE,53.79696,-1.71198,1990-04-01,3300,CS,SHOP AND PREMISES,2012-04-01,Y,,,Small Business Rate Relief,2013-04-01,,,,
173,,"4, New Hey Road, Bradford, BD4 7HY",BD4 7HY,53.78210,-1.73502,1990-04-01,3950,CS,SHOP AND PREMISES,2017-07-17,Y,,,Small Business Rate Relief,2017-07-17,,,,
179,Lodge Of The Three Graces No 408,"Masonic Hall Opp, Police Station, Mill Hey, Haworth, Keighley, BD22 8NA",BD22 8NA,53.83238,-1.94673,1990-04-01,5900,CL2,CLUB AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
180,Co-Operative Group Limited,"Shop, 24, Station Road, Oxenhope, Keighley, BD22 9JJ",BD22 9JJ,53.81102,-1.95093,1990-04-01,27000,CS,,1990-04-01,Y,,,,,,,,
181,,"4, Chapel Street, Queensbury, Bradford, BD13 2PY",BD13 2PY,53.76864,-1.84709,1990-04-01,5900,CS,SHOP AND PREMISES,1998-09-19,Y,,,Small Business Rate Relief,2007-04-01,,,,
185,Raiseprint Limited,"Unit E1-2, Royd Ings Avenue, Keighley, BD21 3QY",BD21 3QY,53.86609,-1.90721,1990-04-01,42750,IF,,1995-08-22,Y,,,,,,,,
187,,"94-96, Gaythorne Road, Bradford, BD5 8AY",BD5 8AY,53.77738,-1.75428,1990-04-01,8500,CS,SHOP AND PREMISES,2009-06-06,Y,,,Small Business Rate Relief,2014-03-06,,,,
189,Edwick Memorial Hall Trust Limited,"The Birches, Otley Road, Eldwick, Bingley, BD16 3EQ",BD16 3EQ,53.86031,-1.81276,1990-04-01,4300,CL,PUBLIC HOUSE AND PREMISES,1990-04-01,Y,,,Mandatory Relief,1998-04-01,,,,
190,,"1, Wilsden Road, Harden, Bingley, BD16 1JP",BD16 1JP,53.84087,-1.87038,1990-04-01,3100,CS,SHOP AND PREMISES,1990-04-01,Y,,,,,,Rural Relief,,
193,The Childrens Place Limited,"Creche, 83, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81359,-1.79159,1998-06-10,16500,EN1,DAY NURSERY AND PREMISES,2013-01-01,Y,,,,,,,,
196,,"17, Victoria Road, Saltaire, Shipley, BD18 3LQ",BD18 3LQ,53.83683,-1.79022,1990-04-01,5000,CO,OFFICES AND PREMISES,2017-04-15,Y,,,Small Business Rate Relief,2017-05-23,,,,
198,,"2a, Wrose Road, Bradford, BD2 1LH",BD2 1LH,53.82407,-1.73812,1990-04-01,4300,CS,SHOP AND PREMISES,2007-06-01,Y,,,Small Business Rate Relief,2007-08-13,,,,
201,Empire House Piccadilly Limited,"3rd Floor, 8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79572,-1.75349,1998-05-01,18500,CO,OFFICES AND PREMISES,2017-11-16,,Listed Building,2017-11-16,,,,,,
205,Sofa Doctor Ltd,"103, Legrams Lane, Bradford, BD7 2AA",BD7 2AA,53.79119,-1.77908,1990-04-01,5600,CS,,2018-04-06,Y,,,Small Business Rate Relief,2018-04-06,,,,
207,Co-Operative Group Limited,"6, Tyrrel Street, Bradford, BD1 1RJ",BD1 1RJ,53.79387,-1.75365,1990-04-01,31000,CS1,,1992-03-17,Y,,,,,,,,
208,,"171a, Great Horton Road, Bradford, BD7 1RP",BD7 1RP,53.78743,-1.77260,1990-04-01,3900,CS,SHOP AND PREMISES,2012-01-01,Y,,,Small Business Rate Relief,2012-01-01,,,,
211,,"Car Parking Bay No 19, West Riding House, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79563,-1.75258,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2009-04-01,Y,,,,,,,,
212,,"Warehouse And Premises, Worth Way, Keighley, BD21 5AJ",BD21 5AJ,53.86524,-1.90619,1990-04-01,17250,CS7,SHOWROOM AND PREMISES,2012-02-18,Y,,,,,,,,
215,Univer Manufacturing Company Ltd,"6, Station Road, Canal Rd-Queens Rd, Bradford, BD1 4SF",BD1 4SF,53.80809,-1.75598,1995-01-03,71000,IF3,,1997-04-01,Y,,,,,,,,
216,Pennine House Limited,"Car Park Space No 37, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
218,Babycare (Bradford) Limited,"Unit 1, Oxford Works, Dudley Hill Road, Bradford, BD2 3AA",BD2 3AA,53.80951,-1.73029,1990-04-01,11250,CW3,STORE AND PREMISES,2009-04-01,Y,,,,,,,,
220,The Secretary Keighley Golf Club,"Keighley Golf Club, Howden Park, Silsden, BD20 6DH",BD20 6DH,53.88770,-1.91659,1990-04-01,57000,LS2,,1990-04-01,Y,,,,,,,,
222,Bellissimo Workspace Limited,"Unit 31, Dalton Mills, Dalton Lane, Keighley, BD21 4JH",BD21 4JH,53.86902,-1.89414,1995-08-15,1350,CO,OFFICES AND PREMISES,2013-05-15,Y,,,Small Business Rate Relief,2014-04-01,,,,
235,,"Mectec, Ingrow Bridge, South Street, Keighley, BD21 5AX",BD21 5AX,53.85454,-1.91573,1990-04-01,7600,IF3,WORKSHOP AND PREMISES,1995-02-25,Y,,,Small Business Rate Relief,2007-04-01,,,,
237,Keighley & Worth Valley Railway Preservation Society Limited,"Keighley And, Worth Valley Railway, Station Road, Haworth, Keighley, BD22 8NJ",BD22 8NJ,53.83124,-1.94873,1990-04-01,100000,LX,HERITAGE RAILWAY AND PREMISES,1990-04-01,Y,,,Mandatory Relief,2010-07-13,,,,
240,Tunnacliffe & Lambert Limited,"18, Station Road, Clayton, Bradford, BD14 6JA",BD14 6JA,53.78156,-1.81827,1990-04-01,6000,CS,,2015-10-01,Y,,,,,,,,
244,,"808, Little Horton Lane, Bradford, BD5 9DG",BD5 9DG,53.77678,-1.77061,1990-04-01,3650,CS,SHOP AND PREMISES,1997-06-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
247,,"Tara House, 92, Otley Road, Eldwick, Bingley, BD16 3HD",BD16 3HD,53.85983,-1.81299,1990-04-01,5200,CS,SHOP AND PREMISES,2015-08-21,Y,,,Small Business Rate Relief,2015-08-21,,,,
249,,"118, Main Street, Wilsden, Bradford, BD15 0AB",BD15 0AB,53.82320,-1.86070,1990-04-01,3400,CS,SHOP AND PREMISES,2008-11-01,Y,,,Small Business Rate Relief,2008-11-01,,,,
250,Thornton & Allerton Community Association,"2, Priestley Street, Thornton, Bradford, BD13 3LB",BD13 3LB,53.79016,-1.85159,1996-09-01,2025,IF3,WORKSHOP AND PREMISES,1996-09-01,Y,,,Mandatory Relief,1998-04-01,,,,
251,Dr Karet & Partners,"Medical Centre, 81, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81359,-1.79159,1998-05-15,45000,MH,SURGERY AND PREMISES,1998-05-15,Y,,,,,,,Yes,
253,Bradford MDC,"Sandy Lane Primary School, Cottingley Road, Bradford, BD15 9JU",BD15 9JU,53.81697,-1.83195,1990-04-01,48000,EL,,1990-04-01,Y,,,,,,,,
254,Priestley & Webb Ltd,"318, Keighley Road, Bradford, BD9 4EX",BD9 4EX,53.82018,-1.77449,1990-04-01,5000,CS,SHOP AND PREMISES,2015-09-15,Y,,,Small Business Rate Relief,2015-09-15,,,,
258,,"144, Toller Lane, Bradford, BD9 5JE",BD9 5JE,53.80743,-1.79002,1990-04-01,4750,CS,SHOP AND PREMISES,2009-09-01,Y,,,Small Business Rate Relief,2011-04-01,,,,
259,,"Central Motor Company, 129, Great Horton Road, Bradford, BD7 1QG",BD7 1QG,53.78815,-1.76988,1994-04-11,14000,CX,LAND USED FOR DISPLAY AND PREMISES,1994-04-11,Y,,,Small Business Rate Relief,2017-04-01,,,,
266,,"21, Aberdeen Place, Bradford, BD7 2HG",BD7 2HG,53.78719,-1.78468,1990-04-01,1975,CS,SHOP AND PREMISES,2017-08-01,Y,,,Small Business Rate Relief,2017-08-01,,,,
279,Myers Building Supplies Ltd,"Old Cornmill, Keighley Road, Silsden, BD20 0DY",BD20 0DY,53.91030,-1.93853,1990-04-01,54000,CW,,1990-04-01,Y,,,,,,,Yes,
282,,"335, Leeds Road, Ilkley, LS29 8NF",LS29 8NF,53.92998,-1.80165,1990-04-01,11750,CS,SHOP AND PREMISES,2014-10-01,Y,,,Small Business Rate Relief,2014-11-24,,,,
284,,"521, Leeds Road, Idle, Bradford, BD10 8JZ",BD10 8JZ,53.84243,-1.73586,1990-04-01,4850,CS,SHOP AND PREMISES,2016-10-01,Y,,,Small Business Rate Relief,2016-10-01,,,,
285,Be Humble Limited,"151, Harrogate Road, Bradford, BD2 3ES",BD2 3ES,53.81297,-1.72646,1990-04-01,7800,CS,SHOP AND PREMISES,2018-04-24,Y,,,Small Business Rate Relief,2018-04-25,,,,
293,Amalgamated Engineers (Keighley) Social Club And Institute L,"16, Russell Street, Keighley, BD21 2JP",BD21 2JP,53.86692,-1.91157,1990-04-01,4700,CL2,CLUB AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
294,,"Birchwood Fisheries, Birchwood Road, Keighley, BD20 6BX",BD20 6BX,53.88215,-1.91749,1990-04-01,1725,CS,SHOP AND PREMISES,2011-04-27,Y,,,Small Business Rate Relief,2011-07-05,,,,
295,,"9, Sun Street, Haworth, Keighley, BD22 8BY",BD22 8BY,53.82823,-1.95294,1990-04-01,3000,CS,SHOP AND PREMISES,2003-06-07,,Insolvency,2018-03-13,,,,,,
296,Yorkshire Water Services Ltd,"North Ives Bottom, Hebden Road, Oxenhope, Keighley, BD22 9TD",BD22 9TD,53.81685,-1.94345,1990-04-01,23000,NW,SEWAGE TREATMENT WORKS AND PREMISES,1990-04-01,Y,,,,,,,,
297,,"Ring Obells Inn, 63, High Street, Queensbury, Bradford, BD13 2AD",BD13 2AD,53.76769,-1.84777,1990-04-01,16500,CL,PUBLIC HOUSE AND PREMISES,2012-08-06,Y,,,,,Yes,,,
302,,"101a, Little Horton Lane, Bradford, BD5 0BU",BD5 0BU,53.78848,-1.75830,1990-04-01,6200,CS5,LAUNDERETTE AND PREMISES,2018-06-10,Y,,,Small Business Rate Relief,2018-06-10,,,,
309,Sunrise Foods Bradford Ltd T/A Mashriq Occasions,"25a, Heaton Road, Bradford, BD8 8RA",BD8 8RA,53.80731,-1.77624,1997-10-02,12000,IF3,WORKSHOP AND PREMISES,2016-06-25,Y,,,,,,,,
310,Raja+Grill Limited,"228, Haworth Road, Bradford, BD9 6NS",BD9 6NS,53.81639,-1.81921,1990-04-01,5700,CS,SHOP AND PREMISES,2016-06-23,Y,,,Small Business Rate Relief,2016-06-23,,,,
313,Salts Estates Ltd,"The Second Gallery, Salts Mill, Victoria Road, Saltaire, Shipley, BD18 3LA",BD18 3LA,53.83834,-1.78772,1993-04-01,12000,EM1,ART GALLERY,1993-04-01,Y,,,,,,,,
315,Colin Appleyard Limited,"77, Otley Road, Shipley, BD18 2BJ",BD18 2BJ,53.83232,-1.77496,1990-04-01,24500,CS7,SHOWROOM AND PREMISES,2013-10-16,Y,,,,,,,,
328,Washerhire Ltd,"Unit 4, Mandale Industrial Unit, South Street, Keighley, BD21 1AQ",BD21 1AQ,53.85772,-1.91246,1990-04-01,10750,IF3,WORKSHOP AND PREMISES,2014-08-01,Y,,,Small Business Rate Relief,2014-08-01,,,,
329,3 Cube Real Estate Limited,"No 4, Equity House, 40, Piccadilly, Bradford, BD1 3NN",BD1 3NN,53.79642,-1.75426,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2007-04-01,,Rateable Value,2007-04-01,,,,,,
332,Pennine House Limited,"Car Park Space No 35, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
336,Silsden Cricket Club,"Advert Right Adj, Cricket Ground, Keighley Road, Silsden, BD20 0EH",BD20 0EH,53.90938,-1.93944,1990-04-01,520,CA,ADVERTISING RIGHT AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2010-04-01,,,,
339,Dr Goodwin-Jones And Partners,"Grange Park Surgery, Grange Road, Burley In Wharfedale, Ilkley, LS29 7HG",LS29 7HG,53.91271,-1.74811,1990-04-01,19750,MH,SURGERY AND PREMISES,2008-04-01,Y,,,,,,,Yes,
340,,"Storage Depot, Little Lane, Ilkley, LS29 8EA",LS29 8EA,53.92662,-1.81936,1990-04-01,1400,CW2,STORAGE DEPOT AND PREMISES,2017-11-17,,Rateable Value,2017-11-17,,,,,,
341,,"2, Parry Lane, Bradford, BD4 8TJ",BD4 8TJ,53.78663,-1.72598,1990-04-01,4150,CS,SHOP AND PREMISES,2017-07-31,,,,,,,,,
342,,"19, Northgate, Baildon, BD17 6JZ",BD17 6JZ,53.85409,-1.76590,1990-04-01,1700,CO,OFFICES AND PREMISES,2006-02-13,Y,,,Small Business Rate Relief,2007-04-01,,,,
344,,"127, Harrogate Road, Bradford, BD2 3ES",BD2 3ES,53.81297,-1.72646,1990-04-01,6800,CS,SHOP AND PREMISES,2002-12-17,Y,,,Small Business Rate Relief,2007-04-01,,,,
355,,"105a, Cooper Lane, Bradford, BD6 3PB",BD6 3PB,53.76699,-1.80815,1990-04-01,2050,CS,SHOP AND PREMISES,2010-04-01,,Rateable Value,2017-12-02,,,,,,
357,,"423, Southfield Lane, Bradford, BD7 3DN",BD7 3DN,53.78017,-1.78475,1990-04-01,4000,CS,SHOP AND PREMISES,2017-06-20,Y,,,Small Business Rate Relief,2017-06-20,,,,
361,,"81, Park Road, Bradford, BD5 0SG",BD5 0SG,53.78601,-1.75754,1990-04-01,3700,CS,,2017-10-01,Y,,,Small Business Rate Relief,2017-10-01,,,,
364,,"36, Leonard Street, Bingley, BD16 2PS",BD16 2PS,53.84598,-1.83177,1990-04-01,2750,CS,SHOP AND PREMISES,2011-02-19,Y,,,Small Business Rate Relief,2011-02-19,,,,
365,,"The Villager, Peel Street, Wilsden, Bradford, BD15 0JE",BD15 0JE,53.81988,-1.85980,1990-04-01,7100,CL,,2018-08-07,Y,,,Small Business Rate Relief,2018-08-07,,,,
367,The Meridian Centre,"Community Centre, St Pauls Road, Manningham, Bradford, BD8 7LS",BD8 7LS,53.80717,-1.77169,1997-11-11,7700,LC,COMMUNITY CENTRE AND PREMISES,2006-10-06,Y,,,Mandatory Relief,2014-01-10,,,,
370,Wide Mouth Bars Ltd,"24, Bingley Road, Shipley, BD18 4RS",BD18 4RS,53.83476,-1.79146,1990-04-01,9500,CS,,2018-04-12,Y,,,Small Business Rate Relief,2018-04-12,,,,
390,Pennine House Limited,"Car Park Space No 34, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
392,Abundant Life Centre,"171, North Wing, Bradford, BD3 0EL",BD3 0EL,53.79910,-1.74448,1990-04-01,5300,IF3,WORKSHOP AND PREMISES,2007-03-30,Y,,,Mandatory Relief,2007-03-30,,,,
397,,"17, The Grove Promenade, Ilkley, LS29 8AF",LS29 8AF,53.92499,-1.82425,1990-04-01,12250,CS,SHOP AND PREMISES,2015-10-05,Y,,,Small Business Rate Relief,2017-04-01,,,,
399,,"11, Browgate, Baildon, BD17 6BP",BD17 6BP,53.85271,-1.76638,1990-04-01,2250,IF3,WORKSHOP AND PREMISES,2006-11-17,Y,,,Small Business Rate Relief,2007-04-01,,,,
400,,"79, Bradford Road, Idle, Bradford, BD10 9LB",BD10 9LB,53.83281,-1.73008,1990-04-01,2750,CS,SHOP AND PREMISES,2013-05-01,Y,,,Small Business Rate Relief,2013-05-01,,,,
402,Bradford Moor Community Centre,"Rear Of, 18-20, Mortimer Avenue, Bradford, BD3 7EY",BD3 7EY,53.80384,-1.71539,1991-11-30,4550,LC,COMMUNITY CENTRE AND PREMISES,2008-04-01,Y,,,Small Business Rate Relief,2011-04-01,,,,
405,,"36-38, Buck Street, Bradford, BD3 9QP",BD3 9QP,53.79203,-1.73903,1990-04-01,7300,CR1,CAFE AND PREMISES,2012-04-01,Y,,,Small Business Rate Relief,2012-04-01,,,,
406,,"63, Sticker Lane, Bradford, BD4 8QA",BD4 8QA,53.78687,-1.71883,1990-04-01,5100,CS,SHOP AND PREMISES,2007-03-06,Y,,,Small Business Rate Relief,2008-05-26,,,,
407,Woodlands C E Primary Academy,"Woodlands C E Primary School, Mill Carr Hill Road, Oakenshaw, Bradford, BD12 7EZ",BD12 7EZ,53.74935,-1.73380,1990-04-01,20250,EL,,2018-08-01,Y,,,Mandatory Relief,2018-08-01,,,,
410,Whitaker Animal Feeds Limited,"Balcony Mews, Oakworth Road, Keighley, BD21 1QP",BD21 1QP,53.86395,-1.91672,1990-04-01,6500,CW3,STORE AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
420,The Garden Shed Public Houses Limited,"Market Tavern, 100, High Street, Wibsey, Bradford, BD6 1LS",BD6 1LS,53.76739,-1.77130,1990-04-01,0,CL,,2016-06-17,,Rateable Value,2018-04-01,,,,,,
425,Iqbal Foods Limited,"Iqbal Catering, 6a-8a, Mansfield Road, Bradford, BD8 7LY",BD8 7LY,53.80854,-1.76908,1996-09-01,10500,IF3,WORKSHOP AND PREMISES,2010-04-01,Y,,,Small Business Rate Relief,2010-04-01,,,,
427,A G Thomas (Bradford) Limited,"Tompion House, Heaton Road, Bradford, BD8 8RB",BD8 8RB,53.80713,-1.77679,1990-04-01,31000,CW,,1990-04-01,Y,,,,,,,,
444,Kwik-Fit (Gb) Ltd,"Depot And Premises, South Street, Keighley, BD21 1DQ",BD21 1DQ,53.86173,-1.91196,1990-04-01,33250,CG1,,2001-04-01,Y,,,,,,,Yes,
448,Pennine House Limited,"Car Park Space No 33, R-O Pennine House, 39-45, Well Street, Bradford, BD1 5NU",BD1 5NU,53.79482,-1.74824,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2017-08-30,,Rateable Value,2017-12-30,,,,,,
454,Ison Harrison Solicitors,"46a, The Grove, Ilkley, LS29 9EE",LS29 9EE,53.92474,-1.82558,1991-04-01,10750,CO,OFFICES AND PREMISES,2010-09-07,Y,,,,,,,,
