Primary Description Code,Default Description,PROPTYPE1 Description,PROPTYPE1 Broad Description,PROPTYPE1 Detailed Description,HMRC PROPTYPE1,PROPTYPE2 Description
IF,Factory and premises,"Industrial-Factories, mills & workshops",Industrial,"Factories, mills & workshops",33,Factories
IF1,Mill and premises,"Industrial-Factories, mills & workshops",Industrial,"Factories, mills & workshops",33,Factories
IF2,Works and premises,"Industrial-Factories, mills & workshops",Industrial,"Factories, mills & workshops",33,Factories
IF3,Workshop and premises,"Industrial-Factories, mills & workshops",Industrial,"Factories, mills & workshops",33,Factories
IF4,Business Unit and premises,"Industrial-Factories, mills & workshops",Industrial,"Factories, mills & workshops",33,Factories
IM,Quarry and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM1,Mine and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM2,Brickworks and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM3,Concrete Batching Plant and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM4,Tipping Site and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM5,Spoil Heap workings and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IM6,Peat Fields and premises,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IMX,Miscellaneous,"Industrial-Quarries, mines etc.",Industrial,"Quarries, mines etc.",34,Other properties
IX,Miscellaneous,Industrial-Other industrial,Industrial,Other industrial,35,Other properties
LC,Community Centre and premises,Leisure-Community centres & halls,Leisure,Community centres & halls,37,Other properties
LC1,Clubhouse and premises,Leisure-Community centres & halls,Leisure,Community centres & halls,37,Other properties
LC2,Leisure Centre and premises,Leisure-Community centres & halls,Leisure,Community centres & halls,37,Other properties
LC3,Hall and premises,Leisure-Community centres & halls,Leisure,Community centres & halls,37,Other properties
LH1,Beach Hut and premises,Leisure-Other leisure,Leisure,Other leisure,41,Other properties
LI,Sports Centre and premises,Leisure-Sports centres & stadia,Leisure,Sports centres & stadia,38,Other properties
LI1,Stadium and premises,Leisure-Sports centres & stadia,Leisure,Sports centres & stadia,38,Other properties
LS,Sports Ground and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS1,Sporting Right and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS2,Golf Course and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS3,Marina and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS4,Playing Field and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS5,Football Ground and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS6,Swimming Pool and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LS7,Tennis Centre and premises,"Leisure-Sports grounds, golf courses etc",Leisure,"Sports grounds, golf courses etc",39,Other properties
LT,Cinema and premises,"Leisure-Cinemas, theatres etc.",Leisure,"Cinemas, theatres etc.",40,Other properties
LT1,Amusement Arcade and premises,"Leisure-Cinemas, theatres etc.",Leisure,"Cinemas, theatres etc.",40,Other properties
LT2,Bingo Hall and premises,"Leisure-Cinemas, theatres etc.",Leisure,"Cinemas, theatres etc.",40,Other properties
LT3,Theatre and premises,"Leisure-Cinemas, theatres etc.",Leisure,"Cinemas, theatres etc.",40,Other properties
LT4,Amusement Park and premises,"Leisure-Cinemas, theatres etc.",Leisure,"Cinemas, theatres etc.",40,Other properties
LX,Miscellaneous,Leisure-Other leisure,Leisure,Other leisure,41,Other properties
MC,Cemetery and premises,Miscellaneous-Cemeteries and crematoria,Miscellaneous,Cemeteries and crematoria,43,Other properties
MC1,Crematorium and premises,Miscellaneous-Cemeteries and crematoria,Miscellaneous,Cemeteries and crematoria,43,Other properties
